gene,cancer_type,stroma,cancer,normal,ccle_m,entrezgene,ReconGeneName
AANAT,LUAD,0.150427637190658,0.0576999534959282,0.0404362438568303,0.143786785370662,15,15.1
AASS,GBM,1.80405376093317,3.38759939500798,1.9191998614355,3.48810841997574,10157,10157.1
AASS,KIRP,1.32698253055676,2.72016823665836,2.67275413490472,0,10157,10157.1
AASS,THCA,1.38310492897971,1.71465134089012,2.23724415181862,2.80836204367643,10157,10157.1
AASS,PRAD,2.19987142559764,2.25630882255966,2.17258207201759,1.46286421911501,10157,10157.1
AASS,ESCA,1.67115119561161,1.33141835198235,2.23336792009538,2.20121451441609,10157,10157.1
AASS,CRC,1.50120352773359,0.5995785198784,0.857040850593063,1.27072104728788,10157,10157.1
AASS,UCEC,1.16192866288403,0.977957202241705,2.27900025266406,1.79876125098158,10157,10157.1
AASS,BRCA,1.637086446486,0.911559816719065,2.43588728155529,0.676427242115271,10157,10157.1
AASS,BLCA,1.17155968381167,1.56871083990533,2.19345414194666,2.09616182497502,10157,10157.1
AASS,CESC,1.82047624416279,0.758045483423487,2.37978810247865,2.15471148525449,10157,10157.1
AASS,SKCM,1.88935270471461,2.80050785621198,2.1718361608208,3.22378217446685,10157,10157.1
AASS,LIHC,1.50598121973991,3.39036616524782,4.2543652220068,2.58520403632759,10157,10157.1
AASS,LGG,2.68244788841688,3.32229930114911,1.9191998614355,3.49297101366535,10157,10157.1
AASS,STAD,1.48890299748193,0.651262231346207,1.29624020969321,0.78651518926183,10157,10157.1
AASS,HNSC,1.31274885074708,1.49838936982654,1.96914187870141,2.44381246471402,10157,10157.1
AASS,LUAD,2.27651374635416,1.67378374011061,2.27925362693859,1.34398728766636,10157,10157.1
AASS,LUSC,2.00766210966439,2.2764266752432,2.46706508364178,2.39271743562768,10157,10157.1
AASS,KIRC,1.73865707890908,1.91102871439024,2.61634180317031,2.10711772914046,10157,10157.1
AASS,OV,0.948132531629519,0.88456608925308,5.52495660904726,1.75303999095488,10157,10157.1
AASS,PAAD,2.13037315220625,0.746182428776453,1.89491971073053,2.16002227580612,10157,10157.1
ABAT,HNSC,1.15895832857506,2.05757433259177,2.17576445765559,2.09457161614578,18,18.1
ABAT,HNSC,1.15895832857506,2.05757433259177,2.17576445765559,2.09457161614578,18,18.2
ABAT,THCA,3.3597185251146,5.49724559313109,4.86077765402705,0.464334755848357,18,18.1
ABAT,THCA,3.3597185251146,5.49724559313109,4.86077765402705,0.464334755848357,18,18.2
ABAT,CESC,1.97563785993589,1.21959989854689,1.28964471298675,1.4679602432316,18,18.1
ABAT,CESC,1.97563785993589,1.21959989854689,1.28964471298675,1.4679602432316,18,18.2
ABAT,CRC,1.60854988157965,3.11529336036101,2.92428281481557,1.55584853317743,18,18.1
ABAT,CRC,1.60854988157965,3.11529336036101,2.92428281481557,1.55584853317743,18,18.2
ABAT,PRAD,4.06936576840129,4.46337089671653,3.9679788557324,1.55329837448447,18,18.1
ABAT,PRAD,4.06936576840129,4.46337089671653,3.9679788557324,1.55329837448447,18,18.2
ABAT,BRCA,2.57199406178019,3.47951122788952,2.46474610249788,2.13464715014695,18,18.1
ABAT,BRCA,2.57199406178019,3.47951122788952,2.46474610249788,2.13464715014695,18,18.2
ABAT,OV,1.77143145431586,2.49121119755604,2.80046629915868,1.04784894796372,18,18.1
ABAT,OV,1.77143145431586,2.49121119755604,2.80046629915868,1.04784894796372,18,18.2
ABAT,SKCM,1.74677007634441,0.855066501257018,1.41899539637962,0.659710112868456,18,18.1
ABAT,SKCM,1.74677007634441,0.855066501257018,1.41899539637962,0.659710112868456,18,18.2
ABAT,ESCA,1.96748667379726,1.71474708817476,2.57497982933158,1.72197663907141,18,18.1
ABAT,ESCA,1.96748667379726,1.71474708817476,2.57497982933158,1.72197663907141,18,18.2
ABAT,BLCA,1.3708340554781,3.11841399010289,2.24306397493382,1.52683184069059,18,18.1
ABAT,BLCA,1.3708340554781,3.11841399010289,2.24306397493382,1.52683184069059,18,18.2
ABAT,LIHC,4.83124140259896,6.43046471787838,8.0291038095933,1.1443169071462,18,18.1
ABAT,LIHC,4.83124140259896,6.43046471787838,8.0291038095933,1.1443169071462,18,18.2
ABAT,LUSC,1.63873246257767,1.46311401130407,1.92898399696882,0.800875266636359,18,18.1
ABAT,LUSC,1.63873246257767,1.46311401130407,1.92898399696882,0.800875266636359,18,18.2
ABAT,KIRP,2.83801249636903,3.78524896863133,5.36995911636804,0,18,18.1
ABAT,KIRP,2.83801249636903,3.78524896863133,5.36995911636804,0,18,18.2
ABAT,KIRC,1.5790422920385,2.95397112972038,4.53892432586452,0.639581548462723,18,18.1
ABAT,KIRC,1.5790422920385,2.95397112972038,4.53892432586452,0.639581548462723,18,18.2
ABAT,LUAD,1.78883121213313,2.17879496660554,1.98633802521639,0.860451583358136,18,18.1
ABAT,LUAD,1.78883121213313,2.17879496660554,1.98633802521639,0.860451583358136,18,18.2
ABAT,UCEC,1.12956344434814,1.55743860019687,1.62543059887886,1.2498332265678,18,18.1
ABAT,UCEC,1.12956344434814,1.55743860019687,1.62543059887886,1.2498332265678,18,18.2
ABAT,PAAD,2.97446839828448,2.17027522068829,2.24083201812128,0.758646395198302,18,18.1
ABAT,PAAD,2.97446839828448,2.17027522068829,2.24083201812128,0.758646395198302,18,18.2
ABAT,GBM,3.9179553589886,6.16391769408748,6.13643336910291,0.742086280389089,18,18.1
ABAT,GBM,3.9179553589886,6.16391769408748,6.13643336910291,0.742086280389089,18,18.2
ABAT,LGG,5.2845647201944,7.50204192589761,6.13643336910291,0.319728972373681,18,18.1
ABAT,LGG,5.2845647201944,7.50204192589761,6.13643336910291,0.319728972373681,18,18.2
ABAT,STAD,1.79930074644723,2.39105587828064,2.65581935263139,1.5487024308065,18,18.1
